State,Temp_Min,Temp_Max,Oxy_Min,Oxy_Max,pH_Min,pH_Max,Con_Min,Con_Max,BOD_Min,BOD_Max,N_Min,N_Max,FC_Min,FC_Max,TC_Min,TC_Max
HIMACHAL PRADESH,7.5,14,8.6,9.3,6.5,8.2,117,447,1,1,0.32,3.95,4,26,17,1600
HIMACHAL PRADESH,7,13,8.5,9.3,7.5,8.3,97,245,1,1,0.32,0.77,7,39,32,920
HIMACHAL PRADESH,7.5,13,8.6,9.2,7.5,8.2,104,253,1,1,0.32,0.89,2,79,7,1600
HIMACHAL PRADESH,9,26,8.3,9.2,7.4,8,102,235,1,1,0.32,2.21,23,84,110,280
HIMACHAL PRADESH,10,33,8.1,8.9,6.8,8.3,150,335,1,2.8,0.39,3.5,33,1600,240,1600
HIMACHAL PRADESH,7,13,8.9,9.4,7.5,8.3,117,258,1,1,0.32,1.01,5,26,17,350
HIMACHAL PRADESH,7.5,13,8.9,9.4,7.6,8.2,100,248,1,1,0.32,0.82,7,110,17,1600
HIMACHAL PRADESH,16.5,23,7,9.8,7.9,8.3,230,356,1,1,0.42,0.71,20,4500,460,33000
HIMACHAL PRADESH,9,26,8.5,9.6,5.7,8,96,286,1,1,0.32,0.98,22,49,70,240
HIMACHAL PRADESH,9,26,8.1,9.1,7.3,8.1,94,240,1,1,0.32,2.08,32,84,110,430
HIMACHAL PRADESH,16,26,8.2,9.3,6.9,8.3,203,354,1,2.3,0.32,0.93,2,6,13,80
HIMACHAL PRADESH,19,23,7,10.7,7.9,8.4,223,273,1,1,0.42,2.47,2,2600,13,54000
HIMACHAL PRADESH,18.5,23,7.1,10.4,8,8.3,217,272,1,1,0.47,1.13,4,2200,14,92000
PUNJAB,19.5,24,7.1,9.8,7.7,8.3,257,333,1,5,0.32,1.1,200,13000,1700,350000
PUNJAB,14,28,7.2,9.4,7,8.3,227,290,1,1,0.7,5.9,33,250,120,580
PUNJAB,16,22,7,12.1,7.4,8.3,206,274,1,1,0.8,3.1,17,100,70,330
PUNJAB,16,22,7,12.2,7.6,8.4,207,275,1,1,0.8,3.1,20,110,79,330
PUNJAB,15,23,7.4,12.3,7.1,8.5,202,298,1,1,0.9,6,22,210,110,470
PUNJAB,13,28,7.5,10,7,8.3,210,302,1,1,0.9,2.4,38,380,140,840
PUNJAB,15,35,4.6,8.4,7.6,8.1,248,574,1,3,0.3,1.4,200,1700,700,3900
PUNJAB,15,35,0.3,5.8,7.2,8.1,518,1144,4.5,14,0.4,2.8,330,2300,1400,4300
PUNJAB,15,32,0.3,1.9,7.3,7.8,538,1248,4.8,21,0.4,2,1100,110000,6300,340000
PUNJAB,10,29,6.3,8.8,7.6,8.3,257,320,1,1.8,0.8,3.1,130,780,700,2600
PUNJAB,13,30,0.3,6.6,7.2,7.9,247,1245,2.3,75,1.4,3.8,17000,1700000,54000,6300000
PUNJAB,16,21,6.7,9.6,7.5,8.1,196,264,1,1,0.4,1.8,17,78,68,270
PUNJAB,17,24,7.6,11.4,7.6,8.5,200,270,1,1,0.8,2.2,20,170,70,390
PUNJAB,14,29,7,9.8,7.3,8.5,243,363,1,1,0.7,2.7,78,700,490,1700
PUNJAB,14,27,6.4,9,7.5,8.2,240,348,1,1.2,1.1,2.6,61,460,330,1300
PUNJAB,12,28,6.5,8.1,7.4,8.2,259,394,1,2.8,1.1,3.3,210,1300,790,3900
PUNJAB,12,30,0.3,2.1,7.2,7.8,505,1250,17,105,1.1,8,79000,2200000,220000,7900000
PUNJAB,11,30,4.2,7.5,7.2,7.9,271,442,1,3.6,1.1,3.2,270,2200,700,5400
PUNJAB,15,34,0.3,0.3,6.9,7.8,937,1165,42,100,1.1,2.8,63000,490000,220000,790000
PUNJAB,16,31,0.3,0.3,6.7,7.7,849,1309,35,79,0.82,5,63000,460000,210000,700000
PUNJAB,11,28,0.3,7.6,7.1,7.8,305,733,2.2,41,1.3,4.6,4900,1200000,17000,2800000
PUNJAB,12,29,0.3,7.8,7.1,7.8,300,808,2,50,1.7,6.3,7900,1700000,17000,3500000
PUNJAB,12,30,4.8,9.1,7,8.1,248,422,1,2,1.1,2.6,110,780,540,2600
PUNJAB,12,30,4.7,8.9,6.9,8,251,420,1,2.4,1.2,2.8,170,1100,540,2700
JAMMU & KASHMIR,12,26,7.4,7.5,7.5,8.2,109,230,1,1,0,0,22053,283877,344,12180
JAMMU & KASHMIR,12,26,7.4,7.4,7.4,8.2,107,185,1,1,0,0,181,1195,448,5091
JAMMU & KASHMIR,12,26,6.3,6.5,7.6,8.6,108,560,1,1.3,0,0,43,134,349,1156
HIMACHAL PRADESH,10,18,8.7,9.1,7.5,8.4,141,276,1,1,0.3,6.43,2,68,21,16000
HIMACHAL PRADESH,9,22,8.1,9,7.4,8.2,164,467,1,1,0.3,4.58,2,20,130,1400
HIMACHAL PRADESH,11,17.5,8.5,9.2,6.9,8.2,158,286,1,1,0.31,2.18,2,27,110,5400
HIMACHAL PRADESH,9,17,8.9,9.2,7.1,8.3,136,274,1,1,0.41,3.61,2,40,27,3500
HIMACHAL PRADESH,10,17,8,9,7.5,8.1,130,266,1,1,0.3,3.23,2,78,26,16000
HIMACHAL PRADESH,10,17.5,8.8,9.1,7.5,8.4,142,281,1,1,0.59,4.71,2,40,21,9200
HIMACHAL PRADESH,10,18.5,8.3,9,7.5,8.3,140,264,1,1,0.3,3.06,2,110,32,9200
JAMMU & KASHMIR,19,31,8.7,10.8,8,8.7,175,351,1,3,0.32,0.83,2200,24000000,7000,160000000
PUNJAB,18,24,9,10,7.9,8.4,172,237,1,1.3,0.39,1.79,37,28000,400,28000
PUNJAB,11,34,8.1,10.2,7.5,8.2,152,207,1,1.1,0.4,1.2,18,40,70,140
HIMACHAL PRADESH,4,16,7,8.6,6.5,8.1,42,100,1,1,0.32,0.85,43,170,220,920
HIMACHAL PRADESH,6,15,7.4,8.2,7,8,60,145,1,1,0.32,0.84,22,110,94,920
HIMACHAL PRADESH,3,15,7.2,8.8,6.8,8.3,40,94,1,1,0.32,1.06,17,47,63,220
HIMACHAL PRADESH,3,16,7.1,8.7,6.8,8,42,100,1,1,0.32,1.23,22,94,70,350
HIMACHAL PRADESH,12,23,5.8,7.1,7.4,8.2,331,766,1,7.2,1.73,15.8,2,920,26,1600
HIMACHAL PRADESH,12,26,5.5,7.1,7.3,8.1,408,1436,1,6,2.62,15.54,4,920,21,1600
HIMACHAL PRADESH,11,26,3.4,7.1,7.1,8.1,403,1611,1,3.9,3.05,15.31,2,540,26,1600
HIMACHAL PRADESH,11,24,6,7.1,7.5,8.2,329,768,1,3.8,1.86,11.86,4,46,34,920
HIMACHAL PRADESH,12,24,4,7.6,7.2,8.1,302,1754,1,24,1.4,9.23,2,1600,12,1600
HIMACHAL PRADESH,11,25,3,6.9,7.6,8.2,360,1913,1,16,1.48,14.24,7,1600,39,1600
HIMACHAL PRADESH,12,24,5.2,7.1,7.7,8.3,418,1385,1,5.6,1.93,12.83,4,540,33,1600
PUNJAB,19,27,6,6.8,7.6,8.1,330,1269,3,45,1.27,5.52,3400,490000,28000,1600000
PUNJAB,12,29,6.5,12.2,7.2,8.3,262,554,1,1.2,0.9,4.7,78,460,210,1100
HIMACHAL PRADESH,10,16,8.7,9.2,6.7,8.1,64,283,1,1,0.37,3.32,2,14,70,1700
HIMACHAL PRADESH,10,27,8,8.9,7.1,8.3,210,385,1,2,0.32,3.22,63,1600,350,1600
HIMACHAL PRADESH,15,20,8.6,9.2,7.3,8.2,57,294,1,1,0.59,3.1,2,40,49,9200
HIMACHAL PRADESH,12,22,8.5,9.1,7.1,8.5,88,283,1,1,0.95,4.18,2,45,70,16000
HIMACHAL PRADESH,7,11.5,9.2,9.7,7.6,8.4,129,509,1,1,0.32,0.82,2,70,2,280
HIMACHAL PRADESH,7,12,9.3,9.8,7.5,8.4,104,304,1,1,0.32,1.45,2,39,9,280
HIMACHAL PRADESH,6,10.4,7.6,8.7,7,8.4,42,136,1,1,0.32,0.66,2,20,2,280
HIMACHAL PRADESH,12,19,9,9.1,7.5,8.2,79,213,1,1,0.69,3.12,2,93,26,5400
JAMMU & KASHMIR,11,22,2.6,7.8,8.1,8.8,280,487,1,2.7,0,0.77,128,1238,500,3000
JAMMU & KASHMIR,11,22,2.4,6.2,8,8.5,264,589,1.3,3,0,1.1,168,836,700,3000
JAMMU & KASHMIR,7.8,24,4.7,7.2,7.3,8,234,386,1,2.3,0,0.32,131,279,700,700
JAMMU & KASHMIR,14,26,3.1,6.5,7.5,8.2,224,446,1,3.7,0,0.79,113,235,600,1000
JAMMU & KASHMIR,17,26,6.7,7.2,7.6,8.4,160,324,1,1,0,0.32,113,240,600,1300
JAMMU & KASHMIR,9,16,7.2,7.6,7.1,7.5,110,224,1,1.1,0,0.32,101,4354,420,13100
JAMMU & KASHMIR,9,16,7.2,7.6,7.2,7.5,110,206,1,1.1,0,0.32,191,994,524,2780
JAMMU & KASHMIR,9,16,7.3,7.5,7.2,7.5,110,204,1,1.1,0,0.32,163,542,433,5000
JAMMU & KASHMIR,9,16,6.8,7,7.3,7.9,114,227,1.1,1.6,0,1.19,143,321,600,1000
JAMMU & KASHMIR,16,26,3.1,5.3,7.9,8.2,312,627,2.3,4.4,0,4.32,168,504,800,2000
JAMMU & KASHMIR,17,22,6.4,7.3,7.6,8.6,164,314,1,1,0,0.32,973,30802,2199,50692
JAMMU & KASHMIR,17,24,5,7.3,8.3,8.7,412,589,1,1.3,0,0.32,16,289,396,1296
JAMMU & KASHMIR,16,26,5.8,7.8,7.6,8.3,300,542,1,1.9,0,1.55,168,836,700,3000
JAMMU & KASHMIR,16,26,5.6,8,7.3,8.5,286,420,1,2,0,0.32,269,738,700,2000
JAMMU & KASHMIR,17,24,7.4,7.6,7.5,7.6,110,165,1,1,0.32,0.32,228,985,631,2731
JAMMU & KASHMIR,5.5,23,5.8,9.8,7.4,8.2,160,325,2.5,3.8,0,0,269,222893,820,5604690
JAMMU & KASHMIR,6.1,25.1,4.6,8.9,7.3,8,155,366,1.9,5.9,0,0,3221,61524,7570,83180
JAMMU & KASHMIR,7.3,25.1,4.1,8.2,7.3,8.1,154,371,2.9,7.8,0,0,3001,43514,7081,51806
JAMMU & KASHMIR,7,19.5,6,9.7,7.1,7.9,152,351,1,4.2,0,0,1615,32350,5286,32910
JAMMU & KASHMIR,8,22,5.9,9,7.7,8,120,281,1.8,4.4,0,0,17,836,159,3815
JAMMU & KASHMIR,7.5,22.2,6,9.9,7.5,8.1,118,297,2,3.2,0,0,262,4214,491,9196
JAMMU & KASHMIR,7.6,22.1,5.9,9.8,7.3,8.1,114,312,2.1,4.2,0,0,200,13728,489,32516
JAMMU & KASHMIR,5,23.4,6,10.8,7.3,8.2,153,354,1.6,3.2,0,0,1615,32350,5270,33360
JAMMU & KASHMIR,8.4,22.8,5.3,9.4,7.6,7.9,121,310,2,3.8,0,0,420,11991,733,26704
JAMMU & KASHMIR,7.5,22.3,5.5,9.9,7.5,8,114,316,2,32,0,0,226,14700,553,37260
JAMMU & KASHMIR,16,26,7.2,7.6,7.3,8.2,166,455,1,1,0,0.32,3241,32113,3680,33064
JAMMU & KASHMIR,17,26,6.8,7.5,7.5,8.5,176,370,1,1,0,0.32,1016,11462,1775,23982
JAMMU & KASHMIR,14,28,4.8,6,7.9,8.4,420,442,2,3.6,0,0.26,41,41,140,153
JAMMU & KASHMIR,17,26,3,7.5,7.9,8.9,185,372,1.1,4,0,1.42,144,295,700,800
JAMMU & KASHMIR,17,17,3,3,9,9,176,176,9,9,0,0,29,70,65,128
JAMMU & KASHMIR,17,26,6.5,7.2,7.9,8.5,156,360,1,1,0,0.32,110,850,500,1500
JAMMU & KASHMIR,18,18,2.3,2.3,8.9,8.9,172,172,9.5,9.5,0,0,29,70,65,128
JAMMU & KASHMIR,16,28,2.9,6,7.7,8.2,326,612,1,4.9,0,0.31,303,19601,485,59213
JAMMU & KASHMIR,5.8,24.7,1.1,6.6,7.1,7.8,190,382,4.5,10.7,0,0,792,33580,2041,41370
HIMACHAL PRADESH,19.2,32,6.6,7.8,7.6,8,350,494,1,2.8,0.32,7.11,2,6,17,270
HIMACHAL PRADESH,19.5,31,6.5,8.1,7.4,7.8,421,484,1,2.7,0.32,4.06,2,6,14,70
HIMACHAL PRADESH,24,32,5.5,7.2,6.7,8,371,663,1,2.8,0.32,2.13,2,4,13,140
HIMACHAL PRADESH,19.7,32,6.8,7.8,7.3,7.9,346,520,1,2.6,0.32,7.81,2,4,14,160
HIMACHAL PRADESH,19,32.3,6.4,7.6,7.5,8.2,362,515,1,2.6,0.32,6.93,2,6,13,140
HIMACHAL PRADESH,23,31,5.9,7.3,7.4,7.8,358,745,1,2.5,0.32,2.1,2,8,13,114
HIMACHAL PRADESH,19,31,6.4,8.2,7.4,8,340,476,1,2.8,0.32,2.52,2,4,17,140
PUNJAB,23,26,3.9,12,7.6,8.5,256,475,2,30,0.32,5.59,78,130000,1300,350000
HIMACHAL PRADESH,16,32,6.1,7.9,7.4,8.2,259,498,1,4,0.32,2.42,2,6,17,170
JAMMU & KASHMIR,12,26,7.3,7.5,7.5,8.7,103,480,1,1,0,0,5,174,13,888
PUNJAB,13,32,4,7.8,6.8,8.2,242,421,2,3,1.13,1.9,450,1400,1700,3400
JAMMU & KASHMIR,3.8,16.5,7.1,11,7,8.5,100,204,1,2,0,0,195,681,519,5168
JAMMU & KASHMIR,4.3,18,6.8,11.4,7.5,8.9,94,205,1,2.7,0,0,77,901,285,5308
JAMMU & KASHMIR,5.2,18.9,7.2,10.8,7.8,8.4,101,240,1,2.6,0,0,24,78,69,684
JAMMU & KASHMIR,3.8,19.9,7.1,11.7,7.4,8.4,62,150,1,2.7,0,0,34,205,128,774
JAMMU & KASHMIR,5.6,22,7.3,11.5,7.1,8.4,81,185,1,2.9,0,0,454,4478,1077,18431
JAMMU & KASHMIR,4.3,19,7,11.4,7.6,8.8,76,156,1,3.2,0,0,317,6567,835,33690
JAMMU & KASHMIR,4.6,17.5,6.8,11.2,7.8,8.8,99,211,1,3.6,0,0,166,498,439,4788
JAMMU & KASHMIR,4,9.9,7.7,10,7.6,8.4,195,463,1,1.9,0,0,1438,56540,2120,97740
JAMMU & KASHMIR,4.1,10.8,7.3,10.2,7.3,8.4,203,454,1,1.8,0,0,1061,37461,1546,64922
JAMMU & KASHMIR,3.5,16,7.2,10.9,7.6,8.3,143,340,1,2,0,0,432,227360,800,5608912
JAMMU & KASHMIR,4.1,17.2,7.4,9.7,7.4,8.2,146,344,1,2.6,0,0,536,244780,800,5608912
JAMMU & KASHMIR,4,18.8,7.5,10.8,7.5,8.2,156,359,1,2.6,0,0,1834,50748,930,33360
HIMACHAL PRADESH,11,20,8.2,9.1,7.5,8.4,59,228,1,1,0.41,2.76,2,20,22,3500
HIMACHAL PRADESH,12,20,8.2,9.2,7.6,8.5,59,242,1,1,0.49,2.67,2,20,39,5400
HIMACHAL PRADESH,12,21,8.6,9.2,7.3,8,74,329,1,1,0.3,2.04,2,45,13,9200
HIMACHAL PRADESH,10,21,8.4,9.3,7,8.2,74,368,1,1,0.3,2.62,2,45,22,16000
HIMACHAL PRADESH,7,19,7.8,8.5,7.2,8,61,280,1,1,0.32,4.93,21,79,79,430
HIMACHAL PRADESH,8,18,7.2,8.1,7.2,8.3,105,800,1,1,0.32,2.34,4,220,17,920
HIMACHAL PRADESH,17,33.4,6.9,8,7.4,8.3,344,517,1,3,0.32,5.94,2,6,14,170
HIMACHAL PRADESH,16,20,8.8,9.4,7.1,8.1,97,201,1,1,0.48,3.68,2,40,33,16000
HIMACHAL PRADESH,16,21,8.8,9.2,7.3,8.3,95,187,1,1,0.57,3.26,2,78,79,16000
HIMACHAL PRADESH,12,19,9.1,9.2,7.6,8.2,74,197,1,1,0.3,5.53,2,20,13,3500
HIMACHAL PRADESH,11,18,8.8,9.1,7.7,8.6,67,237,1,1,0.3,6.43,2,7,11,790
HIMACHAL PRADESH,10,18,9,9.2,7.4,8.4,70,196,1,1,0.3,5.96,2,20,11,1300
HIMACHAL PRADESH,9,17,8.9,9.6,7.2,8,77,480,1,1,0.3,4.12,2,20,8,5400
HIMACHAL PRADESH,14,23,5.8,7.1,7.5,8,615,1384,1,5.4,1.69,17.26,5,220,34,1600
HIMACHAL PRADESH,9,9,9.6,9.6,8.3,8.3,87,87,1,1,0.61,0.61,11,11,26,26
HIMACHAL PRADESH,10,16,8.8,9,7.3,8,125,259,1,1,0.73,2.68,4,45,350,5400
JAMMU & KASHMIR,6.6,25.2,4.7,7.8,7.4,8.1,149,357,2.3,5,0,0,1874,50748,5590,65120
HIMACHAL PRADESH,4,23,8.5,9.6,7.1,8.1,62,205,1,1,0.32,1.01,23,79,170,350
HIMACHAL PRADESH,12,27,7,8.8,7.1,8.2,210,414,1,2.8,0.49,3.25,58,920,280,1600
HIMACHAL PRADESH,5,32,8.2,9.3,7.2,8.2,185,285,1,1,0.32,1.83,11,79,33,350
HIMACHAL PRADESH,3,12,7.5,8.9,7.2,8.1,92,225,1,1,0.32,0.55,23,39,140,280
HIMACHAL PRADESH,3,10,7.6,8.5,7.2,8.1,88,221,1,1,0.32,0.64,2,39,45,210
HIMACHAL PRADESH,4,12,7.6,9.1,7.2,8.2,87,218,1,1,0.32,0.95,26,47,170,240
UTTARAKHAND,7,7,11,11,8.4,8.4,84,84,1,1,0.32,0.32,2,2,2,2
UTTARAKHAND,10,10,11.4,11.4,8,8,50,50,1,1,0.32,0.32,2,2,2,2
UTTARAKHAND,13.5,13.5,11.2,11.2,7.3,7.3,43,43,1,1,0.32,0.32,2,2,2,2
UTTARAKHAND,15,17,10,10.6,7.6,8.3,47,137,1,1,0.32,0.35,2,2,2,4
UTTARAKHAND,14,17,9.8,10.8,7.6,7.8,61,80,1,1,0.32,0.33,2,2,2,4
UTTARAKHAND,14,17,10.2,10.8,7.4,8.2,58,122,1,1,0.32,0.33,2,2,2,4
UTTARAKHAND,15,19,10,10.6,7.8,8.3,89,128,1,1,0.32,0.33,2,2,2,4
UTTARAKHAND,16,20,9.8,10.8,7.8,8.1,76,117,1,1,0.32,0.36,2,2,2,2
UTTARAKHAND,15,20,10,10.8,7.5,8.2,87,110,1,1,0.32,0.33,2,2,2,4
UTTARAKHAND,13,24,9,10.6,7.2,8.4,84,265,1,1,0.32,0.43,31,48,39,49
UTTARAKHAND,12,23,9.6,11,7.1,8.3,70,154,1,1,0,0.37,21,43,26,48
UTTARAKHAND,14,28,8.2,10.2,7,8.2,90,431,1,1.7,0.32,0.48,27,84,34,94
UTTARAKHAND,14,22,9.2,10.8,7.1,8.5,67,141,1,1.2,0.32,0.39,2,43,2,49
UTTARAKHAND,13,29,8.2,10,7.1,8.5,157,325,1.1,1.7,0.32,0.38,33,63,58,94
UTTARAKHAND,14.8,26.2,8,10.3,7.3,8.3,166,351,1,2,0.32,1.65,21,79,63,170
UTTARAKHAND,16.8,25.3,7.6,9.8,7.3,8.3,219,421,1.2,2.6,0.32,1.5,31,94,79,170
UTTARAKHAND,17.9,26.3,7.1,9.9,7.2,8.5,146,648,1,2.6,0.34,1.49,32,94,70,210
UTTARAKHAND,18.2,26.4,7.6,9.8,7.2,8.4,178,3203,1,2.4,0.33,1.57,24,94,79,220
UTTARAKHAND,14.7,27,7.4,9.7,7.4,8.3,219,435,1.2,2.4,0.32,1.85,21,94,79,170
UTTARAKHAND,21.5,30.7,7,8.6,7.3,8,165,273,1.2,2.7,0.32,0.41,2,490000,2000,1100000
UTTAR PRADESH,16,16,7.2,8.5,7.6,8.1,180,289,1,2,0.32,0.72,330,93000,780,1400000
UTTAR PRADESH,18.5,27.7,8.6,9.1,7.6,8,221,260,1,1.6,0,0,460,790,1100,1700
UTTAR PRADESH,18.5,27.7,8.4,8.9,7.7,7.9,241,252,1.2,1.6,0,0,460,790,1300,1700
UTTAR PRADESH,12,30,8.5,12,7,7.6,170,252,1,2.6,0,0.49,170,920,350,1600
UTTAR PRADESH,12,30,8.2,11.7,7.3,7.6,174,255,1,2.9,0.3,0.5,240,1300,540,2200
UTTAR PRADESH,16,32,7.1,11,7.1,7.3,94,198,1,2.7,0,0,170,920,350,1600
UTTAR PRADESH,16,31,7.2,10.6,7.1,7.4,101,179,1,2.6,0,0,170,1100,350,1700
UTTAR PRADESH,17,32,7.3,10.4,7,7.4,106,177,1,2.8,0,0,170,930,350,1700
UTTAR PRADESH,18,38,8.4,10.9,7.4,7.7,143,16350,1.1,1.6,0.3,4.2,2,480,260,630
UTTAR PRADESH,14,31,6.5,10.9,8,8.5,181,346,2.6,3.7,0,0,1100,2600,1600,3300
UTTAR PRADESH,14,30,6.1,10.9,8.1,8.6,199,366,3,3.9,0,0,900,2700,1600,4300
UTTAR PRADESH,14,31,6.3,11.6,8,8.5,218,388,3.2,6.3,0,0,252,3400,2700,4900
UTTAR PRADESH,18,23,6.6,10.1,8.1,8.5,274,376,3,3.3,0,0,2300,2700,3100,4600
UTTAR PRADESH,14,31,6.2,11.2,7.8,8.5,224,356,3,11.6,0,0,1700,2700,3100,4300
UTTAR PRADESH,14,31,6.1,10.8,7.8,8.5,226,441,3,4.3,0,0,2100,4900,3100,7900
UTTAR PRADESH,14,31,6.1,11.1,7.5,8.7,214,443,3,4.4,0,0,2000,3100,3100,5000
UTTAR PRADESH,14,31,6,10.9,7.5,8.9,232,465,3.2,4.6,0,0,2100,3400,3800,6300
UTTAR PRADESH,14,31,5.9,10.6,7.8,8.8,223,431,3.4,13.2,0,0,2200,4600,3100,7000
