State,Temp_Min,Temp_Max,Oxy_Min,Oxy_Max,pH_Min,pH_Max,Con_Min,Con_Max,BOD_Min,BOD_Max,N_Min,N_Max,FC_Min,FC_Max,TC_Min,TC_Max
MAHARASHTRA,27.0,29.0,3.6,4.6,7.1,7.9,337,667,11.0,21.0,0.3,3.12,20,170,540,1800
KARNATAKA,19.0,29.0,5.5,6.9,7.7,8.7,158,438,2.0,4.0,1.4,2.8,110,210,1200,1700
GUJARAT,22.0,30.0,7.5,8.5,8.1,8.5,307,554,1.0,1.0,0.82,1.36,4,30,21,70
MEGHALAYA,13.8,20.0,6.4,7.6,2.7,3.5,433,1270,1.1,2.0,0.32,0.47,2,2,2,2
UTTAR PRADESH,18.0,38.0,8.4,10.9,7.4,7.7,143,16350,1.1,1.6,0.3,4.2,2,480,260,630
MEGHALAYA,10.0,21.0,6.7,7.9,4.0,4.9,36,58,1.2,2.0,0.32,0.39,2,9,12,120
HIMACHAL PRADESH,9.0,9.0,9.6,9.6,8.3,8.3,87,87,1.0,1.0,0.61,0.61,11,11,26,26
MEGHALAYA,12.3,19.0,6.6,7.8,6.7,7.3,29,44,1.2,1.7,0.32,0.53,6,33,240,540
KARNATAKA,27.0,30.0,7.0,7.6,7.4,8.5,123,750,1.4,3.0,0.3,1.2,17,210,170,1700
PUNJAB,14.0,27.0,6.4,9.0,7.5,8.2,240,348,1.0,1.2,1.1,2.6,61,460,330,1300
TAMIL NADU,26.0,37.0,5.2,6.5,7.3,8.7,331,959,1.0,3.0,0.32,2.92,11,26,17,70
JHARKHAND,19.2,37.0,6.9,8.1,7.2,8.3,234,481,1.2,3.1,0.0,0.0,13141,44402,29271,84020
MAHARASHTRA,18.0,20.0,6.0,6.5,8.0,8.5,641,792,5.2,5.2,0.59,0.62,2,2,5,32
HIMACHAL PRADESH,6.1,10.3,7.3,9.0,7.2,8.0,71,264,1.0,1.0,0.83,2.08,2,220,9,1600
HIMACHAL PRADESH,11.0,24.0,6.0,7.1,7.5,8.2,329,768,1.0,3.8,1.86,11.86,4,46,34,920
MAHARASHTRA,27.0,30.0,4.9,6.2,7.4,8.3,332,967,2.8,7.5,0.3,5.09,7,85,170,350
ASSAM,22.0,24.0,5.3,6.2,6.8,7.2,104,134,2.0,2.4,0.7,1.1,610,1500,1100,2100
TELANGANA,24.0,27.8,0.3,1.1,6.8,7.6,784,1474,5.2,14.0,3.4,9.2,8,63,430,920
UTTAR PRADESH,23.5,29.0,7.1,8.2,8.0,8.4,312,480,2.8,3.8,0.6,0.96,1100,2300,1700,3300
MAHARASHTRA,23.0,30.0,4.8,6.2,7.4,8.2,206,553,2.8,6.4,0.3,2.82,8,65,95,350
MANIPUR,18.2,29.0,7.0,7.3,7.0,7.8,120,215,3.2,3.4,0.0,0.0,125,170,245,315
