iter	RMSE
0	1.34668401
1	1.3063899
2	1.264158064
3	1.220853835
4	1.181745095
5	1.146623345
6	1.106731947
7	1.073249806
8	1.040741154
9	1.006170878
10	0.9728524302
11	0.9402682521
12	0.9110002163
13	0.8852959901
14	0.8596996241
15	0.8342408198
16	0.809174108
17	0.783578399
18	0.7616035387
19	0.7391706077
20	0.716948095
21	0.6951662049
22	0.6753459727
23	0.6569505807
24	0.6377868711
25	0.6192142866
26	0.6019786074
27	0.584571403
28	0.5664308035
29	0.5500781497
30	0.5341702794
31	0.5198990319
32	0.5058425569
33	0.4924613309
34	0.4813632329
35	0.469011556
36	0.4569762946
37	0.4456018727
38	0.4355094907
39	0.4256446277
40	0.4155459107
41	0.4055669934
42	0.3964338118
43	0.3877630795
44	0.3788070533
45	0.3716363537
46	0.3632800785
47	0.3549153733
48	0.3486897222
49	0.34029568
50	0.3326608363
51	0.3260842967
52	0.3190758684
53	0.3128970766
54	0.3069055901
55	0.3005346404
56	0.2940858506
57	0.2879811586
58	0.2815023775
59	0.2764770449
60	0.2714388134
61	0.2670867906
62	0.2629797484
63	0.2586604423
64	0.254149435
65	0.2497330993
66	0.2450807142
67	0.2408281881
68	0.2373225654
69	0.2345331301
70	0.2311287974
71	0.2273826699
72	0.2242296684
73	0.2212371595
74	0.2183648628
75	0.2147306978
76	0.2112712802
77	0.2080527974
78	0.2047998708
79	0.2022176071
80	0.1993682315
81	0.1970215591
82	0.1953786704
83	0.1927917938
84	0.1906819974
85	0.1884101622
86	0.1862585975
87	0.1840179503
88	0.1821925485
89	0.1803211707
90	0.1782329514
91	0.1762931369
92	0.1742193641
93	0.1727072033
94	0.1712068918
95	0.1691725916
96	0.1677997733
97	0.1662059451
98	0.1646366003
99	0.1630261434
100	0.1619154779
101	0.1604321532
102	0.1588395686
103	0.1575333874
104	0.1560316384
105	0.1553540557
106	0.1540469656
107	0.1530408711
108	0.1517834996
109	0.150552984
110	0.1495767887
111	0.1483832131
112	0.1472383054
113	0.1459928076
114	0.1451543333
115	0.1440014358
116	0.143028052
117	0.1420031833
118	0.1409381359
119	0.1399601216
120	0.1390164417
121	0.1382141512
122	0.1374498259
123	0.1365698881
124	0.1354419192
125	0.1344241725
126	0.1335994452
127	0.1329777383
128	0.1322974128
129	0.1316442351
130	0.1309398299
131	0.1302845354
132	0.129731398
133	0.1287998407
134	0.128155313
135	0.1277215025
136	0.1270460954
137	0.1265328336
138	0.1254389573
139	0.1245181391
140	0.1238141043
141	0.1232627593
142	0.1228836087
143	0.1224097702
144	0.12173795
145	0.12107543
146	0.1203727368
147	0.1198232819
148	0.1192753624
149	0.1185599811
150	0.1180211171
151	0.1173537583
152	0.1168268906
153	0.1162472421
154	0.1158820279
155	0.1155293515
156	0.1148859489
157	0.1142655457
158	0.1136211358
159	0.1132025061
160	0.1126486193
161	0.1121306695
162	0.1116145203
163	0.1110185773
164	0.1105914628
165	0.110184846
166	0.109700064
167	0.1093552153
168	0.1092096932
169	0.1088251518
170	0.1084554033
171	0.1080455455
172	0.1078912394
173	0.1073036904
174	0.106814507
175	0.1060940353
176	0.1057375612
177	0.1054993328
178	0.1049788184
179	0.1046447255
180	0.1042259507
181	0.1035827175
182	0.1030932048
183	0.1026464465
184	0.1023109824
185	0.1018200405
186	0.1013364835
187	0.1010016073
188	0.1007659214
189	0.1002539644
190	0.09988790029
191	0.09937962341
192	0.09911204094
193	0.09864462489
194	0.09839521717
195	0.09810352083
196	0.09800531567
197	0.09770215595
198	0.09726266588
199	0.09653456339
200	0.09619655917
201	0.09556776488
202	0.09510809652
203	0.09490259615
204	0.0946042388
205	0.09413722499
206	0.09372762943
207	0.09345072609
208	0.09335160078
209	0.0931490562
210	0.09287263315
211	0.09225989131
212	0.09198211659
213	0.09190639321
214	0.09140158749
215	0.09115352986
216	0.09055394285
217	0.09045369982
218	0.08997268594
219	0.08973364506
220	0.08921791173
221	0.08903011264
222	0.08857982903
223	0.08848838158
224	0.0879929114
225	0.08756045177
226	0.08723962798
227	0.08678896962
228	0.08641526903
229	0.08600132733
230	0.08591746947
231	0.08552916143
232	0.08510684022
233	0.08504766297
234	0.08497477502
235	0.0846341473
236	0.08433336347
237	0.08426781927
238	0.08407934294
239	0.08359792641
240	0.08339375083
241	0.08333101221
242	0.083116481
243	0.08304652717
244	0.0829914022
245	0.08259411935
246	0.08253668733
247	0.08213221265
248	0.08163582143
249	0.08145717925
250	0.0814042323
251	0.08135057072
252	0.08129873554
253	0.08124910982
254	0.08089487804
255	0.08084548288
256	0.08046390174
257	0.08015030342
258	0.07969542016
259	0.07936456033
260	0.07891225124
261	0.0785836197
262	0.07826354091
263	0.0777870324
264	0.07744190434
265	0.07727545351
266	0.07685006145
267	0.07649465876
268	0.07613125032
269	0.07582639308
270	0.07563860046
271	0.07521523907
272	0.07493306758
273	0.07461080112
274	0.07433643011
275	0.07407235007
276	0.073799394
277	0.07340714578
278	0.07306645445
279	0.073022535
280	0.07282471027
281	0.07252988015
282	0.07238064285
283	0.07212357695
284	0.07183864043
285	0.07158140181
286	0.07127039197
287	0.07099969859
288	0.07077982156
289	0.0705522091
290	0.07040884365
291	0.07013365462
292	0.06987988893
293	0.06966044992
294	0.06934858457
295	0.06911640724
296	0.06876713029
297	0.06863436177
298	0.06846683498
299	0.06822193051
300	0.06800855407
301	0.06786934114
302	0.06772134648
303	0.06740961789
304	0.06726929061
305	0.06713615322
306	0.06705541896
307	0.06693824343
308	0.06662397506
309	0.06637915966
310	0.06612256003
311	0.06605492765
312	0.06582800789
313	0.06573379567
314	0.06553609029
315	0.06521386031
316	0.06509712102
317	0.06496572562
318	0.06471524219
319	0.06454195786
320	0.06424397241
321	0.06418933653
322	0.06396158572
323	0.06369752576
324	0.06350069667
325	0.06344799851
326	0.06341128757
327	0.06328211303
328	0.06300159349
329	0.06286662933
330	0.06268449953
331	0.06257422602
332	0.06228810449
333	0.0620187784
334	0.06184050845
335	0.06154894765
336	0.06132778777
337	0.06122081787
338	0.06104483549
339	0.06084955342
340	0.06060533199
341	0.06047154065
342	0.0602422667
343	0.05997343611
344	0.05972277041
345	0.05951500507
346	0.05935673439
347	0.05914197945
348	0.05896685713
349	0.05877486657
350	0.058556413
351	0.05831469535
352	0.05808355956
353	0.05797550967
354	0.05774375252
355	0.05757921754
356	0.05739339535
357	0.05728691686
358	0.05717758298
359	0.05714913775
360	0.05700848577
361	0.05674971267
362	0.05655277524
363	0.05643941151
364	0.05622255936
365	0.05612200147
366	0.0560577426
367	0.05587298425
368	0.05581339245
369	0.05565224569
370	0.05550635581
371	0.05540041335
372	0.05526101674
373	0.05509088177
374	0.05491671042
375	0.05470020536
376	0.05462247923
377	0.05452939335
378	0.05433115744
379	0.05415519411
380	0.05412980611
381	0.05394510584
382	0.05386667864
383	0.05363592862
384	0.05340969683
385	0.05318358938
386	0.05304980795
387	0.05287204123
388	0.0527717209
389	0.05259597176
390	0.0525033313
391	0.05232380864
392	0.05221172111
393	0.05208631412
394	0.05206337383
395	0.051905081
396	0.05170652115
397	0.05157646551
398	0.05141738486
399	0.05123702336
400	0.05109087883
401	0.0509337813
402	0.0507764787
403	0.05073108185
404	0.05071213869
405	0.05054299316
406	0.05047138381
407	0.05030539268
408	0.05028387088
409	0.05011481895
410	0.04998407394
411	0.04984772699
412	0.04982531181
413	0.04980348762
414	0.04959628401
415	0.04949098824
416	0.04940287337
417	0.04935549629
418	0.04920634345
419	0.04917890563
420	0.04912514044
421	0.04901593699
422	0.04888836045
423	0.04886775264
424	0.0488368398
425	0.0486586725
426	0.04859190086
427	0.04840160939
428	0.04827610752
429	0.04820691629
430	0.04803947914
431	0.04799683441
432	0.04795658137
433	0.0478489788
434	0.04772092039
435	0.04762606663
436	0.04748355483
437	0.04742430833
438	0.04731692465
439	0.04717360622
440	0.04702509984
441	0.04687732729
442	0.0467426943
443	0.04654704681
444	0.04649477205
445	0.04632992638
446	0.04623867966
447	0.04610899314
448	0.04597480639
449	0.04585999234
450	0.04574015572
451	0.04562050854
452	0.04553150119
453	0.04551359259
454	0.04538914689
455	0.04523532559
456	0.04508730347
457	0.04506316397
458	0.0449348685
459	0.04479210907
460	0.04477504687
461	0.04465309211
462	0.04454338506
463	0.04441230943
464	0.04427332647
465	0.04415882958
466	0.04399313743
467	0.04397203484
468	0.04388452531
469	0.04376683353
470	0.04371653755
471	0.04359441005
472	0.04357885667
473	0.04356057508
474	0.04344436267
475	0.04342779732
476	0.04327337744
477	0.04316085572
478	0.04304134684
479	0.04302739664
480	0.04301335097
481	0.04294595706
482	0.04284065478
483	0.04273606735
484	0.0426694565
485	0.04265545095
486	0.04253838107
487	0.04252863775
488	0.04242427457
489	0.04231168309
490	0.04220285297
491	0.04215475414
492	0.04213416111
493	0.04204634935
494	0.04189894525
495	0.04188936878
496	0.04174116267
497	0.04168670334
498	0.04155138551
499	0.04141946016
500	0.04130924909
501	0.04120638044
502	0.0411598661
503	0.04107104586
504	0.040978813
505	0.04083476578
506	0.04075710167
507	0.04073505746
508	0.04072267668
509	0.04066547146
510	0.04056543043
511	0.04051362451
512	0.04039314387
513	0.04031549744
514	0.040171617
515	0.04006165204
516	0.04000616143
517	0.03994589112
518	0.03984463455
519	0.03983212305
520	0.03973029367
521	0.03964355521
522	0.03951166908
523	0.03942444218
524	0.03932811666
525	0.03923305333
526	0.03915799328
527	0.03906601302
528	0.03905161851
529	0.03904070964
530	0.03892612855
531	0.03887061208
532	0.03885879501
533	0.03876098572
534	0.03875058642
535	0.03869038626
536	0.03867993493
537	0.03858801487
538	0.03850223591
539	0.03849147346
540	0.03839719812
541	0.03828351797
542	0.03824326189
543	0.03815656761
544	0.03810704816
545	0.0380026853
546	0.03787575411
547	0.03779675364
548	0.03770839164
549	0.03761912256
550	0.03760721552
551	0.03754485211
552	0.03745922441
553	0.03737823718
554	0.03736669981
555	0.03729680631
556	0.03728781911
557	0.03719637574
558	0.03711810787
559	0.03702477187
560	0.03693948868
561	0.03689674246
562	0.03679586491
563	0.03670869774
564	0.03665416495
565	0.03657228843
566	0.03647135249
567	0.03646284098
568	0.03638330961
569	0.03634657795
570	0.03628743795
571	0.03627928522
572	0.03620044975
573	0.03611245155
574	0.03602709711
575	0.03599730617
576	0.03597135951
577	0.03595845323
578	0.03592312907
579	0.03585405336
580	0.03577847017
581	0.03576923297
582	0.03567973586
583	0.03567006456
584	0.03562582467
585	0.03558934597
586	0.0354945762
587	0.03545327255
588	0.03541825434
589	0.03540966959
590	0.03537000821
591	0.03534017416
592	0.03527306632
593	0.03523203784
594	0.03515607041
595	0.03506743714
596	0.03505206399
597	0.03502092409
598	0.03498324603
599	0.03489203791
600	0.03480759626
601	0.03474034245
602	0.03471141006
603	0.03462364158
604	0.03460909522
605	0.03454594344
606	0.03447894193
607	0.03440118978
608	0.03433335252
609	0.03425514839
610	0.03415964593
611	0.03408080402
612	0.03400744986
613	0.03392182485
614	0.03390964304
615	0.03387279676
616	0.03379664604
617	0.03376830886
618	0.03374833638
619	0.03371114864
620	0.03361337472
621	0.03355326517
622	0.03349576411
623	0.033417372
624	0.03334638205
625	0.03329381529
626	0.03321714423
627	0.03318629869
628	0.03310734049
629	0.0330809564
630	0.03301535688
631	0.0329432792
632	0.03287354086
633	0.03286572469
634	0.03285820451
635	0.03277311839
636	0.03270008629
637	0.03262596248
638	0.03257543329
639	0.03253301117
640	0.03245737072
641	0.03240352404
642	0.03231671103
643	0.03228488947
644	0.03222758316
645	0.03217692566
646	0.03216769489
647	0.03215631491
648	0.03209323157
649	0.03199887789
650	0.03195363763
651	0.03194866027
652	0.03188606404
653	0.03181461469
654	0.03176455369
655	0.03167553182
656	0.03164589252
657	0.03162246371
658	0.03158894865
659	0.03153991029
660	0.03146301182
661	0.03142165418
662	0.03135844757
663	0.03127208295
664	0.03122949128
665	0.03119143216
666	0.03112580093
667	0.03105163694
668	0.03103402493
669	0.03096292211
670	0.03093454417
671	0.030907268
672	0.03086891576
673	0.03079799569
674	0.03074118827
675	0.03070784379
676	0.03065064343
677	0.03058743671
678	0.03055452128
679	0.03050913936
680	0.03048172461
681	0.03046167857
682	0.03042863581
683	0.03038870893
684	0.0303300815
685	0.03029338377
686	0.03024336522
687	0.03021084545
688	0.03015693796
689	0.03010367512
690	0.03009392999
691	0.03007217812
692	0.03001034778
693	0.02998715155
694	0.02994781236
695	0.02988282316
696	0.02983764871
697	0.02978223882
698	0.02972528842
699	0.02968541991
700	0.02965786019
701	0.02960680603
702	0.02957306457
703	0.02950548303
704	0.02943719702
705	0.02936088322
706	0.02934274237
707	0.02929836235
708	0.02922874659
709	0.02917666717
710	0.02911708454
711	0.0290507581
712	0.02899890809
713	0.028978442
714	0.02893135373
715	0.02890867941
716	0.028838421
717	0.02881393182
718	0.02876675888
719	0.02870937881
720	0.02866280952
721	0.02862585082
722	0.0285854418
723	0.02852695375
724	0.02846111698
725	0.02841181267
726	0.02837706649
727	0.0283559229
728	0.02830904054
729	0.02827419974
730	0.02824556354
731	0.02818070636
732	0.02813337228
733	0.0280886337
734	0.02805703134
735	0.02800299122
736	0.02798685238
737	0.02792014667
738	0.02787649405
739	0.02781297408
740	0.027745867
741	0.02773446028
742	0.02769551108
743	0.02765977618
744	0.02762219884
745	0.02759041233
746	0.02756331536
747	0.02752954699
748	0.02752315639
749	0.02747804168
750	0.0274579925
751	0.02744174466
752	0.02740523726
753	0.02735909012
754	0.02734985764
755	0.02731538729
756	0.02727505289
757	0.02721945565
758	0.02717733951
759	0.02714681793
760	0.02710240379
761	0.02707445287
762	0.02703848861
763	0.02700401467
764	0.02697153318
765	0.02691441049
766	0.02685823875
767	0.02681133883
768	0.02676089941
769	0.02672817924
770	0.02666791905
771	0.02666195783
772	0.02662073741
773	0.02658859014
774	0.02654142356
775	0.026501715
776	0.02646032316
777	0.02641057618
778	0.02640271231
779	0.02639067213
780	0.02635965628
781	0.02633620866
782	0.02628483886
783	0.02627286711
784	0.02622819561
785	0.02617868167
786	0.02613109914
787	0.02608716075
788	0.02607985666
789	0.0260456442
790	0.02603272776
791	0.02602038032
792	0.02597953056
793	0.02593162146
794	0.02589021805
795	0.02587784501
796	0.02584019254
797	0.02581108275
798	0.0257892621
799	0.02576178921
800	0.02572472881
801	0.02568678893
802	0.02568005507
803	0.02562757948
804	0.02559295392
805	0.02557470211
806	0.02556190708
807	0.02554113931
808	0.02549073312
809	0.02547906463
810	0.0254741912
811	0.0254593641
812	0.02541421489
813	0.02534840397
814	0.02532288154
815	0.02529792122
816	0.02527979147
817	0.02525993779
818	0.02523115194
819	0.02519226376
820	0.02518144544
821	0.02514957718
822	0.02509675592
823	0.02506310968
824	0.02501984006
825	0.02497749269
826	0.0249537279
827	0.02491494999
828	0.02488832468
829	0.02487865091
830	0.02483439915
831	0.02478844375
832	0.02474065963
833	0.02471848854
834	0.02468313347
835	0.0246520216
836	0.02461360939
837	0.02458167969
838	0.0245440114
839	0.02450029823
840	0.02446917654
841	0.02446391266
842	0.0244241671
843	0.02439951429
844	0.02435516948
845	0.0243332536
846	0.02431707468
847	0.0243093803
848	0.02427846481
849	0.02425241858
850	0.02422431658
851	0.02420525063
852	0.02419344425
853	0.0241722219
854	0.02412470844
855	0.02409552537
856	0.02408236431
857	0.02406920735
858	0.02403400853
859	0.02400847727
860	0.02396300295
861	0.02392143626
862	0.02387041702
863	0.02385026923
864	0.02382239774
865	0.02378016102
866	0.02375858665
867	0.0237398125
868	0.02371114202
869	0.02370241638
